Id,CreationDate,PostId,RelatedPostId,LinkTypeId
168,2011-06-21T20:49:19.747,28,25,1
1304,2011-06-21T22:55:01.307,110,10,1
2930,2011-06-22T11:58:39.763,203,185,1
2981,2011-06-22T12:32:01.393,189,105,1
3507,2011-06-22T20:56:20.637,226,185,1
3883,2011-06-23T10:39:22.087,289,11,1
3884,2011-06-23T10:39:47.537,295,289,1
4985,2011-06-24T04:24:42.880,390,25,1
5186,2011-06-24T12:27:15.503,403,10,1
5612,2011-06-24T19:42:05.577,429,229,1
5713,2011-06-25T03:13:37.060,436,25,1
6064,2011-06-25T11:33:16.440,447,442,1
6890,2011-06-27T11:19:10.757,498,422,1
8392,2011-06-28T23:34:05.190,575,25,1
8393,2011-06-28T23:35:14.740,575,394,1
8644,2011-06-29T03:22:35.157,589,441,1
9295,2011-06-29T13:48:53.127,562,193,1
9396,2011-06-29T14:57:28.923,638,349,1
9672,2011-06-29T21:35:07.153,688,426,1
10273,2011-06-30T16:14:51.400,720,457,1
11074,2011-07-02T14:23:14.177,763,755,1
11800,2011-07-05T08:14:57.447,755,763,1
12401,2011-07-06T16:38:53.423,835,484,1
12502,2011-07-07T03:57:28.560,833,730,1
13853,2011-07-10T19:07:47.063,910,780,1
13854,2011-07-10T19:07:47.063,910,886,1
14180,2011-07-11T16:07:06.300,938,766,1
14181,2011-07-11T16:07:06.300,938,11,1
14207,2011-07-11T16:07:50.813,766,938,1
14483,2011-07-12T02:55:15.487,944,730,1
15035,2011-07-12T20:48:28.817,973,877,1
15161,2011-07-13T06:59:49.333,166,167,1
16087,2011-07-15T09:19:35.790,1002,10,1
16463,2011-07-16T11:20:48.847,1006,448,1
17039,2011-07-18T07:52:49.597,1060,529,1
17315,2011-07-18T09:38:17.663,1064,1063,1
17341,2011-07-18T09:38:57.063,1063,1064,1
17417,2011-07-18T10:31:27.080,1063,289,1
17418,2011-07-18T10:31:39.450,1064,289,1
17419,2011-07-18T12:15:18.933,1000,394,1
18570,2011-07-21T08:37:46.843,1153,1011,1
20571,2011-07-25T15:03:18.390,1237,441,1
21122,2011-07-26T08:47:57.163,1251,100,1
22073,2011-07-27T16:11:54.930,1282,1104,1
22924,2011-07-29T11:09:33.090,1303,1245,1
23200,2011-07-29T20:19:22.070,1309,34,1
23226,2011-07-29T20:29:23.760,1309,203,1
24352,2011-07-31T13:15:28.267,1328,823,1
25378,2011-08-01T11:56:25.143,447,295,1
25679,2011-08-01T21:37:47.623,1378,25,1
26280,2011-08-02T19:05:13.530,1379,429,1
27081,2011-08-04T19:14:27.703,1422,422,1
27082,2011-08-04T19:16:28.677,1422,1411,1
27208,2011-08-05T05:35:42.007,1423,10,1
27234,2011-08-05T06:16:48.950,1423,1011,1
28785,2011-08-08T00:21:56.897,1453,1310,1
28861,2011-08-08T06:19:38.653,1475,25,1
29237,2011-08-08T18:18:54.873,1483,250,1
30038,2011-08-10T11:25:20.973,1504,1497,1
33689,2011-08-16T09:29:59.377,1565,122,1
33715,2011-08-16T16:03:05.613,1573,9,1
36091,2011-08-23T00:10:00.030,1651,1023,1
38067,2011-08-25T12:47:35.603,1709,921,1
38118,2011-08-25T12:59:58.320,1709,295,1
38194,2011-08-25T13:25:55.313,1712,1709,1
39420,2011-08-26T14:08:26.170,1777,501,1
40621,2011-08-29T13:59:48.493,1827,248,1
40722,2011-08-29T18:58:44.940,1468,1589,1
41123,2011-08-30T09:06:27.757,1836,1833,1
41174,2011-08-30T11:17:07.590,1836,1304,1
41675,2011-08-31T08:39:41.020,1856,1340,1
41701,2011-08-31T08:40:11.783,1340,1856,1
42352,2011-08-31T15:23:14.697,1869,11,1
44403,2011-09-02T15:45:19.387,1904,292,1
45029,2011-09-04T10:27:43.247,1911,10,1
45380,2011-09-05T08:24:05.763,1924,730,1
47106,2011-09-06T21:16:09.707,1961,1628,1
47907,2011-09-08T20:58:07.160,102,159,1
48958,2011-09-10T23:20:43.713,2013,1560,1
50084,2011-09-12T20:12:52.850,2038,1815,1
50660,2011-09-13T21:30:08.457,2024,1856,1
50761,2011-09-14T09:35:08.363,2067,289,1
50837,2011-09-14T10:22:46.763,2069,2067,1
51038,2011-09-14T10:56:57.440,2067,2069,1
51089,2011-09-14T11:04:06.347,2070,1869,1
51090,2011-09-14T11:04:06.347,2070,11,1
51166,2011-09-14T11:38:22.517,2067,1063,1
51292,2011-09-14T16:31:33.290,2079,1980,1
52568,2011-09-16T15:11:53.680,1497,1504,1
55694,2011-09-21T19:08:36.693,1911,2049,1
56670,2011-09-22T16:35:28.977,2310,2287,1
59596,2011-09-26T10:07:00.957,2328,805,1
59697,2011-09-26T16:34:11.480,2437,1805,1
61398,2011-09-28T21:28:37.277,2492,2044,1
61424,2011-09-28T21:29:49.820,2492,2471,1
61950,2011-09-29T13:32:03.243,2486,301,1
64226,2011-10-02T11:29:37.943,2471,2492,1
66427,2011-10-04T08:45:40.110,2589,610,1
67903,2011-10-05T11:44:56.670,2628,1224,1
68529,2011-10-06T07:58:58.627,2628,2046,1
69455,2011-10-07T08:32:31.777,2647,454,1
69481,2011-10-07T08:39:43.827,2646,2643,1
69932,2011-10-07T17:08:30.093,2675,2647,1
69933,2011-10-07T17:08:30.097,2675,1858,1
70134,2011-10-07T21:15:36.253,14,2684,1
71660,2011-10-10T09:27:56.347,2696,2522,1
75111,2011-10-15T09:30:41.720,2772,2643,1
75212,2011-10-15T13:38:09.430,2779,145,1
76713,2011-10-17T10:40:43.400,2798,2811,1
76764,2011-10-17T10:46:15.630,2798,2812,1
